date,asymptomatic,symptomatic,Total,cases_new,Asy/Sy Proportion,cases_active
2021-01-01,1668,400,2068,2068,4.17,23380
2021-01-02,1756,539,2295,2295,3.257884972,22345
2021-01-03,1175,529,1704,1704,2.221172023,21315
2021-01-04,1190,551,1741,1741,2.159709619,22036
2021-01-05,1427,600,2027,2027,2.378333333,22832
2021-01-06,2108,485,2593,2593,4.346391753,24279
2021-01-07,2047,980,3027,3027,2.08877551,25155
2021-01-08,1275,1368,2643,2643,0.932017544,25078
2021-01-09,1730,721,2451,2451,2.399445215,26120
2021-01-10,1711,722,2433,2433,2.369806094,27264
2021-01-11,1574,658,2232,2232,2.392097264,28487
2021-01-12,2389,920,3309,3309,2.59673913,30317
2021-01-13,2168,817,2985,2985,2.653610771,32299
2021-01-14,2430,907,3337,3337,2.679162073,33913
2021-01-15,2407,804,3211,3211,2.993781095,35171
2021-01-16,2816,1213,4029,4029,2.3215169,37037
2021-01-17,2361,978,3339,3339,2.414110429,37689
2021-01-18,2276,1030,3306,3306,2.209708738,38686
2021-01-19,2409,1222,3631,3631,1.971358429,39363
2021-01-20,2669,1339,4008,4008,1.993278566,40977
2021-01-21,1907,1263,3170,3170,1.50989707,41642
2021-01-22,2204,1427,3631,3631,1.544498949,42703
2021-01-23,2812,1463,4275,4275,1.922077922,42650
2021-01-24,1956,1390,3346,3346,1.407194245,41558
2021-01-25,1963,1085,3048,3048,1.80921659,40952
2021-01-26,2125,1460,3585,3585,1.455479452,40441
2021-01-27,2285,1395,3680,3680,1.637992832,42247
2021-01-28,2248,1846,4094,4094,1.217768147,43047
2021-01-29,3998,1727,5725,5725,2.314997105,45330
2021-01-30,3925,1803,5728,5728,2.176927343,47240
2021-01-31,3782,1516,5298,5298,2.494722955,47998
2021-02-01,2921,1293,4214,4214,2.259087394,47917
2021-02-02,2491,964,3455,3455,2.584024896,47697
2021-02-03,3345,939,4284,4284,3.562300319,48157
2021-02-04,3197,1374,4571,4571,2.326783115,48614
2021-02-05,2253,1138,3391,3391,1.979789104,48605
2021-02-06,2962,885,3847,3847,3.346892655,50744
2021-02-07,3014,717,3731,3731,4.20362622,51094
2021-02-08,2390,710,3100,3100,3.366197183,51831
2021-02-09,2062,702,2764,2764,2.937321937,50695
2021-02-10,2536,752,3288,3288,3.372340426,52043
2021-02-11,2590,794,3384,3384,3.261964736,51640
2021-02-12,2556,762,3318,3318,3.354330709,51447
2021-02-13,2811,688,3499,3499,4.085755814,51416
2021-02-14,1818,646,2464,2464,2.814241486,49346
2021-02-15,1608,568,2176,2176,2.830985915,46987
2021-02-16,2245,475,2720,2720,4.726315789,43976
2021-02-17,2355,643,2998,2998,3.66251944,41258
2021-02-18,2007,705,2712,2712,2.846808511,38643
2021-02-19,2331,605,2936,2936,3.852892562,36681
2021-02-20,1921,540,2461,2461,3.557407407,34352
2021-02-21,2848,449,3297,3297,6.34298441,33188
2021-02-22,1687,505,2192,2192,3.340594059,31956
2021-02-23,1874,594,2468,2468,3.154882155,30359
2021-02-24,3020,525,3545,3545,5.752380952,30568
2021-02-25,1335,589,1924,1924,2.26655348,28734
2021-02-26,1793,460,2253,2253,3.897826087,27899
2021-02-27,1824,540,2364,2364,3.377777778,26933
2021-02-28,1977,460,2437,2437,4.297826087,26114
2021-03-01,1483,345,1828,1828,4.298550725,25452
2021-03-02,1280,275,1555,1555,4.654545455,24470
2021-03-03,1420,325,1745,1745,4.369230769,23935
2021-03-04,1713,350,2063,2063,4.894285714,23073
2021-03-05,1802,352,2154,2154,5.119318182,21944
2021-03-06,1332,348,1680,1680,3.827586207,21072
2021-03-07,1351,332,1683,1683,4.069277108,20244
2021-03-08,1209,320,1529,1529,3.778125,19691
2021-03-09,942,338,1280,1280,2.786982249,18618
2021-03-10,1152,296,1448,1448,3.891891892,17922
2021-03-11,1362,285,1647,1647,4.778947368,17461
2021-03-12,1259,316,1575,1575,3.984177215,16991
2021-03-13,1177,293,1470,1470,4.017064846,16628
2021-03-14,1024,330,1354,1354,3.103030303,16196
2021-03-15,976,232,1208,1208,4.206896552,15427
2021-03-16,856,207,1063,1063,4.1352657,15122
2021-03-17,958,261,1219,1219,3.670498084,14993
2021-03-18,893,320,1213,1213,2.790625,14702
2021-03-19,1282,294,1576,1576,4.360544218,14281
2021-03-20,1349,322,1671,1671,4.189440994,14362
2021-03-21,1042,285,1327,1327,3.656140351,14437
2021-03-22,869,247,1116,1116,3.518218623,14056
2021-03-23,1118,266,1384,1384,4.203007519,14380
2021-03-24,932,336,1268,1268,2.773809524,14561
2021-03-25,976,384,1360,1360,2.541666667,14428
2021-03-26,918,357,1275,1275,2.571428571,14193
2021-03-27,864,335,1199,1199,2.579104478,14127
2021-03-28,1032,270,1302,1302,3.822222222,14298
2021-03-29,737,204,941,941,3.612745098,14138
2021-03-30,872,261,1133,1133,3.340996169,14117
2021-03-31,1128,354,1482,1482,3.186440678,14520
2021-04-01,868,310,1178,1178,2.8,14318
2021-04-02,964,330,1294,1294,2.921212121,14168
